Epoch, Loss,Epsilon,Training Ai Score
120,0.04502940496929935,0.1,20.0
121,0.04488973488807678,0.1,22.0
122,0.04491848313063383,0.1,29.0
123,0.04496122109740972,0.1,22.0
124,0.0448769156654485,0.1,28.0
125,0.044701138155162336,0.1,28.0
126,0.04470002627372742,0.1,22.0
127,0.04469343495666981,0.1,33.0
128,0.044655449141343145,0.1,28.0
129,0.044635532063245775,0.1,24.0
130,0.04466834595054388,0.1,28.0
131,0.04450321273356676,0.1,20.0
132,0.04477693967255844,0.1,21.0
133,0.044482629132270815,0.1,20.0
134,0.04458161500990391,0.1,23.0
135,0.04462365801930428,0.1,21.0
136,0.044556776215942825,0.1,21.0
137,0.044488787122070786,0.1,29.0
138,0.04444237062186003,0.1,22.0
139,0.04455321714878082,0.1,21.0
140,0.04439185788573957,0.1,29.0
